,tags,counts,Percentile Rank
279,alternative,1,0.03484848484848485
280,energy,9,0.6803030303030303
281,green-energy,1,0.03484848484848485
282,sustainable,1,0.03484848484848485
283,invention,1,0.03484848484848485
284,innovation,21,0.9327922077922078
285,automatisation,1,0.03484848484848485
286,electromagnetism,1,0.03484848484848485
287,contactless,1,0.03484848484848485
288,batteryfree,1,0.03484848484848485
289,Erfindung,1,0.03484848484848485
290,Austria,1,0.03484848484848485
291,Germany,1,0.03484848484848485
292,alternative Antriebe,1,0.03484848484848485
293,saubere Mobilität,1,0.03484848484848485
294,environment,49,0.9858225108225108
295,Umwelt,1,0.03484848484848485
296,umweltfreundlich,1,0.03484848484848485
297,nachhaltig,1,0.03484848484848485
298,Sauber,1,0.03484848484848485
299,Generationenübergreifend,1,0.03484848484848485
300,Automatisation,1,0.03484848484848485
301,Robotics,9,0.6803030303030303
302,hobbyist,1,0.03484848484848485
303,3D printer,1,0.03484848484848485
304,self reliance,1,0.03484848484848485
305,open source,7,0.5646103896103896
306,machine learning,12,0.7867965367965368
307,chemistry,2,0.10313852813852814
308,display,4,0.2864718614718615
309,LEDs,2,0.10313852813852814
310,periodic table,2,0.10313852813852814
311,interactive,12,0.7867965367965368
312,bluetooth,9,0.6803030303030303
313,woodwork,2,0.10313852813852814
314,ws2812B,2,0.10313852813852814
315,elements,2,0.10313852813852814
316,animation,11,0.7570346320346321
317,appinventor,2,0.10313852813852814
318,How to,3,0.19015151515151515
319,Tabletop,3,0.19015151515151515
320,table top,3,0.19015151515151515
321,mini,3,0.19015151515151515
322,3v,3,0.19015151515151515
323,3 volt tesla coil,3,0.19015151515151515
324,mico coil,3,0.19015151515151515
325,spark,28,0.9593073593073593
326,arc,28,0.9593073593073593
327,bug zapper,3,0.19015151515151515
328,instructions,5,0.379004329004329
329,how to add email attachments on iPhone,3,0.19015151515151515
330,how to add mail attachments on iPhone,3,0.19015151515151515
331,how to send attachments on iPhone,3,0.19015151515151515
332,how to sent email attachments on iPhone,3,0.19015151515151515
333,Send attachments in mail on iPhone,3,0.19015151515151515
334,how to send a photo in mail on iPhone,3,0.19015151515151515
335,how to send a video in mail on iPhone,3,0.19015151515151515
336,how to send a document in mail on iPhone,3,0.19015151515151515
337,how to send email attachments on iPad,3,0.19015151515151515
338,how to add email attachments on iPad,3,0.19015151515151515
339,how to send mail attachments on iPad,3,0.19015151515151515
340,astronomy,21,0.9327922077922078
341,light pollution,9,0.6803030303030303
342,stars,9,0.6803030303030303
343,night sky,9,0.6803030303030303
344,dark sky,9,0.6803030303030303
345,short film,9,0.6803030303030303
346,gigabit lte,7,0.5646103896103896
347,gigabit,7,0.5646103896103896
348,lte,7,0.5646103896103896
349,4g,7,0.5646103896103896
350,data,7,0.5646103896103896
351,carriers,7,0.5646103896103896
352,t-mobile,7,0.5646103896103896
353,att,7,0.5646103896103896
354,verizon,7,0.5646103896103896
355,sprint,7,0.5646103896103896
356,qualcomm,7,0.5646103896103896
357,mobile,12,0.7867965367965368
358,phone,31,0.966991341991342
359,what is gigabitlte,7,0.5646103896103896
360,technology,152,0.9993506493506493
361,storms,1,0.03484848484848485
362,timelapse,1,0.03484848484848485
363,8k,1,0.03484848484848485
364,4k,27,0.9568181818181818
365,resolution,8,0.6358225108225108
366,texas,1,0.03484848484848485
367,supercells,1,0.03484848484848485
